Item id,Price
1,Price2
2,Price1
3,Price1
4,Price2
5,Price2
6,Price1
7,Price2
8,Price1
9,Price1
10,Price1
11,Price2
12,Price1
13,Price1
14,Price1
15,Price1
16,Price2
17,Price1
18,Price1
19,Price1
20,Base_Price
21,Price3
22,Price2
23,Price1
24,Price1
25,Price1
26,Price2
27,Price1
28,Price1
29,Base_Price
30,Price1
31,Price1
32,Price1
33,Price1
34,Price2
35,Price1
36,Price1
37,Price2
38,Price1
39,Base_Price
40,Price1
41,Price1
42,Price2
43,Price1
44,Price1
45,Price2
46,Price1
47,Price1
48,Price1
49,Price1
50,Price1
51,Price1
52,Price3
53,Price1
54,Price2
55,Price1
56,Price1
57,Price1
58,Price1
59,Price2
60,Price1
61,Price2
62,Price1
63,Price3
64,Price1
65,Price1
66,Price1
67,Price3
68,Price1
69,Price2
70,Price1
71,Price1
72,Price1
73,Price3
74,Price1
75,Price1
76,Price2
77,Price1
78,Price1
79,Price2
80,Price2
81,Price1
82,Price2
83,Price1
84,Price1
85,Price1
86,Price3
87,Price1
88,Base_Price
89,Price1
90,Price2
91,Price1
92,Price1
93,Price2
94,Price3
95,Price1
96,Price1
97,Price1
98,Price1
99,Price2
100,Price1
101,Price1
102,Price2
103,Base_Price
104,Price2
105,Price1
106,Price3
107,Price1
108,Price1
109,Price1
110,Price1
111,Price2
112,Price3
113,Price1
114,Price3
115,Price3
116,Price1
117,Price1
118,Price1
119,Price2
120,Price2
121,Price1
122,Price1
123,Price1
124,Price1
125,Price1
126,Base_Price
127,Price1
128,Price1
129,Price1
130,Base_Price
131,Price1
132,Price1
133,Price1
134,Price2
135,Price2
136,Price1
137,Price1
138,Price1
139,Price1
140,Price1
141,Price2
142,Price1
143,Price1
144,Price1
145,Price1
146,Price2
147,Price1
148,Price1
149,Price1
150,Price1
151,Price1
152,Price1
153,Price1
154,Price1
155,Price1
156,Price1
157,Price1
158,Price1
159,Price1
160,Price1
161,Price1
162,Price1
163,Price1
164,Price1
165,Price2
166,Price1
167,Price2
168,Price1
169,Price1
170,Price1
171,Price1
172,Price1
173,Price1
174,Price1
175,Base_Price
176,Price1
177,Price1
178,Price2
179,Price1
180,Price1
181,Price1
182,Price2
183,Price1
184,Price1
185,Base_Price
186,Price3
187,Price1
188,Price1
189,Price1
190,Price1
191,Price1
192,Price1
193,Price1
194,Price1
195,Base_Price
196,Price1
197,Price2
198,Price2
199,Price2
200,Price1
201,Price1
202,Price1
203,Base_Price
204,Price1
205,Price2
206,Price1
207,Price1
208,Price1
209,Base_Price
210,Price2
211,Price1
212,Price1
213,Price1
214,Price3
215,Price1
216,Price1
217,Price2
218,Price1
219,Price2
220,Price1
221,Price1
222,Price2
223,Price1
224,Price1
225,Price2
226,Price1
227,Price1
228,Price1
229,Price2
230,Price1
231,Price2
232,Price1
233,Base_Price
234,Price1
235,Price2
236,Price1
237,Price1
238,Price3
239,Price2
240,Price2
241,Price1
242,Price2
243,Price1
244,Price2
245,Price1
246,Price2
247,Price1
248,Price1
249,Base_Price
250,Price1
251,Price2
252,Price1
253,Price1
254,Price2
255,Price2
256,Price1
257,Price1
258,Price1
259,Price2
260,Price2
261,Price1
262,Price2
263,Price1
264,Price2
265,Price2
266,Price2
267,Price1
268,Price1
269,Price2
270,Price1
271,Price1
272,Price2
273,Price1
274,Price1
275,Price1
276,Base_Price
277,Price2
278,Price1
279,Price1
280,Price1
281,Price1
282,Price1
283,Price1
284,Price2
285,Price1
286,Price2
287,Price1
288,Price1
289,Price2
290,Price1
291,Price1
292,Price1
293,Price1
294,Price1
295,Price2
296,Price1
297,Price1
298,Price1
299,Price1
300,Price2
